    75 WH J000226.0+011617     0.60829    1.27129  0.2664 17.426 17.249   5.52 0.543  16.48   0.76  10          
    76 WH J000227.3+014500     0.61356    1.74990  0.1856 16.609 16.853   6.25 0.699  18.65   0.85  23  WHL     
    77 WH J000227.4+004127     0.61423    0.69094  0.1942 16.976 16.729   6.39 0.585  17.58   0.80  17          
    78 WH J000228.2+001334     0.61750    0.22612  0.9125 20.610 18.325   7.30 0.577  30.91   1.38  10          
    79 WH J000229.4+011507     0.62266    1.25181  0.4231 18.222 17.579   5.48 0.556  19.95   0.91  11  WHL     
    80 WH J000233.4-000416     0.63897   -0.07101  1.0124 21.016 18.742   5.87 0.484  23.26   1.05  13          
    81 WH J000234.0+013809     0.64169    1.63589  0.3674 18.826 17.849   6.75 0.537  18.61   0.85  14          
    82 WH J000237.6+013033     0.65654    1.50922  0.7599 21.035 19.016   6.72 0.529  25.89   1.17  17          
    83 WH J000237.8+012227     0.65767    1.37423  1.1400 22.264 18.756   7.26 0.620  39.41   1.74  17          
    84 WH J000241.6-003226     0.67321   -0.54048  0.5577 19.964 18.173   7.36 0.690  35.84   1.59  26  WHL     
    85 WH J000242.3-001320     0.67631   -0.22218  0.2594 17.586 17.566   5.56 0.581  17.75   0.81  21  WHL     
    86 WH J000243.1-001928     0.67973   -0.32457  0.6630 19.613 17.916   7.58 0.697  41.76   1.84  23          
    87 WH J000244.6-003035     0.68598   -0.50978  0.2033 16.844 16.510   7.61 0.705  25.76   1.16  27  WHL     
    88 WH J000245.4-010953     0.68923   -1.16476  1.3368 22.339 18.610   5.88 0.515  28.07   1.26  12          
    89 WH J000245.6+001007     0.68982    0.16848  0.6858 20.210 18.438   5.48 0.536  22.49   1.02  15          
    90 WH J000245.6-004751     0.69020   -0.79762  0.6567 19.235 18.055   6.28 0.730  45.68   2.01  30  WHL     
    91 WH J000245.7+003950     0.69036    0.66376  0.7145 20.547 18.170   5.59 0.573  24.64   1.11  15          
    92 WH J000246.6-011520     0.69426   -1.25546  0.6046 20.076 18.657   5.34 0.593  22.72   1.03  14          
    93 WH J000248.3+012328     0.70117    1.39111  0.8235 20.195 17.888  11.25 0.715  49.00   2.15  23          
    94 WH J000252.0+020241     0.71647    2.04464  0.6787 20.156 18.442   6.03 0.565  24.71   1.11  16          
    95 WH J000253.6+021454     0.72315    2.24821  0.9806 21.679 18.552   5.83 0.522  23.06   1.04   9          
    96 WH J000254.3+012334     0.72611    1.39289  0.4294 18.772 17.595   6.63 0.579  19.12   0.87  11  WHL     
    97 WH J000258.0-001130     0.74176   -0.19171  0.7546 20.008 17.872   6.30 0.533  24.19   1.09  10          
