mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_criterion,params,split0_test_average_precision,split1_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision
156.7668149471283,1.5991921424865723,0.8810430765151978,0.06408035755157471,100,0.01,0.001,0.75,0.4,50,gini,"{'n_estimators': 100, 'min_samples_split': 0.01, 'min_samples_leaf': 0.001, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'gini'}",0.5243143277211473,0.5234068216842089,0.5238605747026781,0.0004537530184691718,55
139.67969226837158,1.1582698822021484,1.3776452541351318,0.24423789978027344,125,0.0001,0.002,0.5,0.4,20,gini,"{'n_estimators': 125, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.002, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'gini'}",0.523907467257949,0.523693420861598,0.5238004440597734,0.00010702319817551542,56
187.1495965719223,4.994213700294495,1.0651977062225342,0.10806441307067871,100,0.001,0.001,0.5,0.4,30,entropy,"{'n_estimators': 100, 'min_samples_split': 0.001, 'min_samples_leaf': 0.001, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 30, 'criterion': 'entropy'}",0.5248813608081125,0.5240293816733764,0.5244553712407445,0.00042598956736805693,44
185.92615127563477,4.369353294372559,1.0469104051589966,0.01963222026824951,125,0.01,0.001,0.75,0.4,20,gini,"{'n_estimators': 125, 'min_samples_split': 0.01, 'min_samples_leaf': 0.001, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'gini'}",0.5246016379081412,0.5231619055371604,0.5238817717226507,0.0007198661854904143,54
263.3947123289108,3.8172916173934937,1.6621490716934204,0.15313422679901123,175,0.0001,0.002,0.75,0.4,50,gini,"{'n_estimators': 175, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.002, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'gini'}",0.5245545851699475,0.5241577021438408,0.5243561436568942,0.0001984415130533157,48
128.22980546951294,1.2518830299377441,0.8518885374069214,0.02414572238922119,125,0.01,0.001,0.5,0.4,20,gini,"{'n_estimators': 125, 'min_samples_split': 0.01, 'min_samples_leaf': 0.001, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'gini'}",0.5239504360526241,0.5228846695252214,0.5234175527889228,0.0005328832637013781,62
210.09477174282074,1.060256838798523,1.4648829698562622,0.2818676233291626,150,0.01,0.002,0.75,0.4,50,gini,"{'n_estimators': 150, 'min_samples_split': 0.01, 'min_samples_leaf': 0.002, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'gini'}",0.524657740694642,0.5232123489790426,0.5239350448368423,0.0007226958577997156,53
204.25648164749146,2.2979843616485596,1.1767252683639526,0.031429409980773926,125,0.001,0.001,0.75,0.4,20,gini,"{'n_estimators': 125, 'min_samples_split': 0.001, 'min_samples_leaf': 0.001, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'gini'}",0.5244283055008003,0.5249731669759542,0.5247007362383773,0.00027243073757693415,34
183.67681109905243,5.229683756828308,0.870713472366333,0.007368564605712891,125,0.01,0.0005,0.75,0.4,20,gini,"{'n_estimators': 125, 'min_samples_split': 0.01, 'min_samples_leaf': 0.0005, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'gini'}",0.5243271768165696,0.5238972328248751,0.5241122048207223,0.00021497199584724624,50
219.01821410655975,2.201573967933655,1.8179806470870972,0.048851609230041504,175,0.0001,0.0005,0.5,0.4,30,gini,"{'n_estimators': 175, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.0005, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 30, 'criterion': 'gini'}",0.5240167711485536,0.5263627637353255,0.5251897674419396,0.001172996293385964,19
135.78017961978912,0.6218372583389282,1.09847891330719,0.031249403953552246,125,0.001,0.001,0.5,0.4,20,gini,"{'n_estimators': 125, 'min_samples_split': 0.001, 'min_samples_leaf': 0.001, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'gini'}",0.524999139782064,0.5244787395775098,0.5247389396797869,0.00026020010227711943,33
91.93258702754974,0.9562219381332397,0.8084012269973755,0.023210883140563965,100,0.0001,0.002,0.5,0.4,30,gini,"{'n_estimators': 100, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.002, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 30, 'criterion': 'gini'}",0.5235589618662803,0.5229418908582246,0.5232504263622524,0.00030853550402781815,65
285.7189016342163,3.6167666912078857,1.628456473350525,0.03405439853668213,175,0.001,0.001,0.5,0.4,30,entropy,"{'n_estimators': 175, 'min_samples_split': 0.001, 'min_samples_leaf': 0.001, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 30, 'criterion': 'entropy'}",0.5246335787437106,0.524728097516296,0.5246808381300033,4.725938629268622e-05,36
192.1172093153,5.647584080696106,1.1532461643218994,0.02300286293029785,100,0.0001,0.0005,0.5,0.4,30,entropy,"{'n_estimators': 100, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.0005, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 30, 'criterion': 'entropy'}",0.5234071503070385,0.5235456091353292,0.5234763797211839,6.922941414533312e-05,60
163.09002315998077,1.9135814905166626,0.8337708711624146,0.01812732219696045,125,0.01,0.002,0.5,0.4,30,entropy,"{'n_estimators': 125, 'min_samples_split': 0.01, 'min_samples_leaf': 0.002, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 30, 'criterion': 'entropy'}",0.5235042966517204,0.5219837911191962,0.5227440438854583,0.0007602527662620706,68
130.5285576581955,1.6857160329818726,0.6827740669250488,0.06998944282531738,100,0.01,0.002,0.5,0.4,50,entropy,"{'n_estimators': 100, 'min_samples_split': 0.01, 'min_samples_leaf': 0.002, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'entropy'}",0.5242137899435164,0.5200616116394985,0.5221377007915075,0.002076089152008964,70
97.06351602077484,0.14873802661895752,0.7684860229492188,0.016756772994995117,100,0.001,0.002,0.5,0.4,30,gini,"{'n_estimators': 100, 'min_samples_split': 0.001, 'min_samples_leaf': 0.002, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 30, 'criterion': 'gini'}",0.5242499296163059,0.522686776720499,0.5234683531684025,0.0007815764479034426,61
221.32726454734802,1.1687710285186768,1.2863761186599731,0.09460222721099854,175,0.01,0.002,0.75,0.4,20,gini,"{'n_estimators': 175, 'min_samples_split': 0.01, 'min_samples_leaf': 0.002, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'gini'}",0.5235419952683747,0.5238927147639101,0.5237173550161425,0.00017535974776766716,57
171.01959598064423,1.7264889478683472,1.0513899326324463,0.016275644302368164,125,0.0001,0.002,0.75,0.4,50,gini,"{'n_estimators': 125, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.002, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'gini'}",0.5254137358265074,0.5238330254806939,0.5246233806536007,0.0007903551729067648,37
201.30376505851746,3.8966078758239746,0.8234440088272095,0.0077658891677856445,100,0.0001,0.002,0.75,0.4,20,entropy,"{'n_estimators': 100, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.002, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'entropy'}",0.5254926200268852,0.5249048309284067,0.525198725477646,0.00029389454923928193,17
277.5656725168228,3.535638213157654,1.8349609375,0.046559810638427734,175,0.0001,0.001,0.75,0.4,50,gini,"{'n_estimators': 175, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.001, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'gini'}",0.524310118380453,0.5253833203347595,0.5248467193576063,0.0005366009771532454,27
168.1771161556244,2.9379661083221436,0.9882643222808838,0.00043511390686035156,100,0.001,0.001,0.5,0.4,20,entropy,"{'n_estimators': 100, 'min_samples_split': 0.001, 'min_samples_leaf': 0.001, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'entropy'}",0.5248864594563037,0.525132239491579,0.5250093494739414,0.0001228900176376002,22
435.4791179895401,4.580646395683289,1.953325867652893,0.02335202693939209,175,0.001,0.001,0.75,0.4,50,entropy,"{'n_estimators': 175, 'min_samples_split': 0.001, 'min_samples_leaf': 0.001, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'entropy'}",0.5263725256663261,0.5252397834273826,0.5258061545468544,0.0005663711194717203,4
178.61002266407013,1.074642300605774,1.1531572341918945,0.00820612907409668,125,0.001,0.002,0.75,0.4,20,gini,"{'n_estimators': 125, 'min_samples_split': 0.001, 'min_samples_leaf': 0.002, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'gini'}",0.5251299220364154,0.5245441341004995,0.5248370280684574,0.0002928939679579523,28
147.40155959129333,3.1814217567443848,1.015796422958374,0.050644874572753906,150,0.01,0.001,0.5,0.4,30,gini,"{'n_estimators': 150, 'min_samples_split': 0.01, 'min_samples_leaf': 0.001, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 30, 'criterion': 'gini'}",0.5236352779713943,0.5225277617791063,0.5230815198752503,0.000553758096143997,67
229.47489607334137,5.294315695762634,0.8159588575363159,0.015854477882385254,100,0.01,0.0005,0.75,0.4,50,entropy,"{'n_estimators': 100, 'min_samples_split': 0.01, 'min_samples_leaf': 0.0005, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'entropy'}",0.5247572393484146,0.5240637757631016,0.5244105075557581,0.000346731792656485,45
