mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_samples,param_max_features,param_max_depth,param_criterion,params,split0_test_average_precision,split1_test_average_precision,mean_test_average_precision,std_test_average_precision,rank_test_average_precision,split0_test_neg_log_loss,split1_test_neg_log_loss,mean_test_neg_log_loss,std_test_neg_log_loss,rank_test_neg_log_loss
296.7309899330139,4.0590972900390625,2.435588002204895,0.015870213508605957,175,0.0001,5e-05,0.5,0.4,100,gini,"{'n_estimators': 175, 'min_samples_split': 0.0001, 'min_samples_leaf': 5e-05, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 100, 'criterion': 'gini'}",0.5157715981546565,0.5190648364256414,0.5174182172901489,0.0016466191354924664,95,-0.5286851534030252,-0.5263673747047406,-0.5275262640538829,0.0011588893491423224,8
192.2419948577881,2.637316942214966,0.9338940382003784,0.023734211921691895,125,0.01,0.0001,0.75,0.4,50,gini,"{'n_estimators': 125, 'min_samples_split': 0.01, 'min_samples_leaf': 0.0001, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'gini'}",0.5250194988944148,0.5251826564125887,0.5251010776535017,8.157875908693102e-05,6,-0.583283056698087,-0.5699135333767633,-0.5765982950374251,0.006684761660661842,63
224.8165820837021,4.921032071113586,1.2407050132751465,0.01489877700805664,125,0.0001,0.001,0.75,0.3,50,entropy,"{'n_estimators': 125, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.001, 'max_samples': 0.75, 'max_features': 0.3, 'max_depth': 50, 'criterion': 'entropy'}",0.5238282363315026,0.5251564202952479,0.5244923283133752,0.000664091981872672,14,-0.5715774508806587,-0.5597178786736855,-0.5656476647771721,0.005929786103486601,45
263.4712338447571,3.643129587173462,1.6726852655410767,0.02390158176422119,150,0.001,5e-05,0.5,0.3,20,entropy,"{'n_estimators': 150, 'min_samples_split': 0.001, 'min_samples_leaf': 5e-05, 'max_samples': 0.5, 'max_features': 0.3, 'max_depth': 20, 'criterion': 'entropy'}",0.5212048325119372,0.5260415053641031,0.5236231689380202,0.0024183364260829676,24,-0.5505791897762786,-0.5401976367835157,-0.5453884132798972,0.005190776496381444,32
127.27750289440155,1.355183720588684,1.1153957843780518,0.0012974739074707031,175,0.01,0.001,0.5,0.2,20,entropy,"{'n_estimators': 175, 'min_samples_split': 0.01, 'min_samples_leaf': 0.001, 'max_samples': 0.5, 'max_features': 0.2, 'max_depth': 20, 'criterion': 'entropy'}",0.520011767623715,0.5196310725755537,0.5198214200996344,0.00019034752408064737,79,-0.5889911082138468,-0.5782584937050043,-0.5836248009594256,0.005366307254421276,77
397.8273186683655,7.448636531829834,2.050471544265747,0.039424896240234375,150,5e-05,5e-05,0.5,0.4,100,entropy,"{'n_estimators': 150, 'min_samples_split': 5e-05, 'min_samples_leaf': 5e-05, 'max_samples': 0.5, 'max_features': 0.4, 'max_depth': 100, 'criterion': 'entropy'}",0.5188329249197221,0.5210265353844353,0.5199297301520787,0.0010968052323566124,75,-0.5261352278947605,-0.5235518433049502,-0.5248435355998553,0.0012916922949051668,1
130.42388224601746,0.9474647045135498,0.8885188102722168,0.010175704956054688,125,0.01,0.001,0.75,0.3,50,gini,"{'n_estimators': 125, 'min_samples_split': 0.01, 'min_samples_leaf': 0.001, 'max_samples': 0.75, 'max_features': 0.3, 'max_depth': 50, 'criterion': 'gini'}",0.5241998701012325,0.5225320393486341,0.5233659547249333,0.0008339153762991769,30,-0.5856176319071693,-0.5747271652239864,-0.5801723985655778,0.005445233341591471,71
270.1729416847229,2.489529848098755,1.6335657835006714,0.00025022029876708984,125,5e-05,0.0001,0.75,0.4,20,gini,"{'n_estimators': 125, 'min_samples_split': 5e-05, 'min_samples_leaf': 0.0001, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 20, 'criterion': 'gini'}",0.5179520961268362,0.524063208708449,0.5210076524176426,0.003055556290806394,65,-0.5385763712042863,-0.5323162242767722,-0.5354462977405292,0.0031300734637570438,26
439.34805834293365,8.585835814476013,2.2397544384002686,0.008392810821533203,175,0.0001,0.0001,0.75,0.3,20,entropy,"{'n_estimators': 175, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.0001, 'max_samples': 0.75, 'max_features': 0.3, 'max_depth': 20, 'criterion': 'entropy'}",0.5210556532952196,0.5212720536676305,0.5211638534814251,0.0001082001862054427,62,-0.5359254152112851,-0.5304964707939245,-0.5332109430026049,0.0027144722086803186,23
614.3984663486481,14.41095232963562,2.446589231491089,0.041831254959106445,175,0.0001,0.0001,0.75,0.4,50,entropy,"{'n_estimators': 175, 'min_samples_split': 0.0001, 'min_samples_leaf': 0.0001, 'max_samples': 0.75, 'max_features': 0.4, 'max_depth': 50, 'criterion': 'entropy'}",0.5209701150514596,0.5214749517552278,0.5212225334033438,0.00025241835188410944,61,-0.5290035044890032,-0.525096275237163,-0.5270498898630831,0.0019536146259201415,6
