,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_criterion,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
10,130.73659563064575,0.9862664053023429,4.802783171335856,0.7089526777822565,100,10,2,sqrt,10,entropy,"{'n_estimators': 100, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'entropy'}",0.5188774901586544,0.6307109626625313,0.6192180370403507,0.5896021632871787,0.050229515736544876,20
11,114.59453701972961,1.44582976393538,5.544941822687785,0.3398888474962154,120,5,4,sqrt,10,gini,"{'n_estimators': 120, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini'}",0.5178038888226172,0.6289514493618037,0.6200829083534639,0.5889460821792949,0.05043524899382272,23
12,55.773568073908486,0.7705955390250907,4.6716703573862715,0.4053071792907459,80,15,10,log2,10,gini,"{'n_estimators': 80, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'gini'}",0.5210843373493976,0.6292198496958129,0.6212460111538576,0.5905167327330227,0.04920392038448646,14
13,99.83997472127278,1.6864929831498436,4.6197043259938555,0.30174588484772114,50,15,10,sqrt,30,entropy,"{'n_estimators': 50, 'min_samples_split': 15, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'entropy'}",0.5170285100799237,0.5968328760586902,0.5934806596880499,0.5691140152755546,0.036855431325310044,62
14,131.44193983078003,1.3432535008957074,4.2853429317474365,1.109790827420429,100,2,1,sqrt,10,log_loss,"{'n_estimators': 100, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'log_loss'}",0.5178038888226172,0.6326792317785995,0.6222599982106111,0.5909143729372759,0.051871618910832154,11
15,73.94883847236633,0.9439702512931542,4.169759511947632,0.5216035334244464,50,10,10,log2,30,entropy,"{'n_estimators': 50, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 'log2', 'max_depth': 30, 'criterion': 'entropy'}",0.5144936180365024,0.5965346534653465,0.5917210939130954,0.5675831218049815,0.03759134782258881,85
16,106.71856204668681,0.665322482628127,4.6147691408793134,0.5621342893301139,120,15,2,log2,10,entropy,"{'n_estimators': 120, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 10, 'criterion': 'entropy'}",0.5209650483120601,0.6321126088512465,0.6226476991440756,0.5919084521024608,0.05031315954411328,3
17,45.26005975405375,1.7143572140907026,4.518400430679321,0.5651489529471063,20,10,10,sqrt,,log_loss,"{'n_estimators': 20, 'min_samples_split': 10, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': None, 'criterion': 'log_loss'}",0.5149409519265179,0.5921806036025289,0.5912737466821747,0.5661317674037405,0.03619926600808169,92
18,92.84664686520894,1.943328581789982,4.718401590983073,0.6174299528199567,100,15,2,sqrt,10,gini,"{'n_estimators': 100, 'min_samples_split': 15, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'criterion': 'gini'}",0.5186389120839795,0.6299057616605034,0.6203214935432882,0.5896220557625904,0.0503449405846599,19
19,69.38733712832133,0.7116023071329801,4.345067739486694,0.2573003029274779,50,5,10,sqrt,30,gini,"{'n_estimators': 50, 'min_samples_split': 5, 'min_samples_leaf': 10, 'max_features': 'sqrt', 'max_depth': 30, 'criterion': 'gini'}",0.5166109984492425,0.5938506501252535,0.5893352420148519,0.5665989635297827,0.035394865138612445,89
